Trial,f1_candidate,f1_confirmed,f1_false_positive,Params
0,0.5129183280426577,0.2527192322249792,0.024551440329218105,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.04798123550548775, ""num_leaves"": 181, ""max_depth"": 7, ""subsample"": 0.8436041025272725, ""colsample_bytree"": 0.6961189475474158, ""reg_alpha"": 0.00020554527309962344, ""reg_lambda"": 5.317804068623927e-07, ""min_child_samples"": 23, ""min_child_weight"": 0.042257240839302955}"
6,0.554646248568701,0.2743753816342348,0.00021333333333333336,"{""boosting_type"": ""gbdt"", ""n_estimators"": 1900, ""learning_rate"": 0.05588183177007048, ""num_leaves"": 173, ""max_depth"": 7, ""subsample"": 0.880147074840667, ""colsample_bytree"": 0.6932081529854113, ""reg_alpha"": 0.26506406317888775, ""reg_lambda"": 8.204626502044657e-08, ""min_child_samples"": 22, ""min_child_weight"": 0.15009257739703638}"
10,0.5550885344337927,0.26651196341562605,0.00021333333333333336,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.053633743599962244, ""num_leaves"": 180, ""max_depth"": 7, ""subsample"": 0.8493985806740684, ""colsample_bytree"": 0.6865651571949329, ""reg_alpha"": 0.1116020218328298, ""reg_lambda"": 1.2750214346319458e-07, ""min_child_samples"": 23, ""min_child_weight"": 0.08793162506023272}"
14,0.5155740828592782,0.24221624309928155,0.056173200702165006,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.053277157697698814, ""num_leaves"": 188, ""max_depth"": 7, ""subsample"": 0.7686706526201809, ""colsample_bytree"": 0.681869642826029, ""reg_alpha"": 0.023932820209080916, ""reg_lambda"": 2.0610088094371972e-06, ""min_child_samples"": 23, ""min_child_weight"": 0.15171222596693368}"
17,0.554658479210572,0.24744909438851534,0.0011010386151797604,"{""boosting_type"": ""gbdt"", ""n_estimators"": 1900, ""learning_rate"": 0.04409988291700902, ""num_leaves"": 70, ""max_depth"": 7, ""subsample"": 0.6306898588934261, ""colsample_bytree"": 0.7065341692687772, ""reg_alpha"": 0.07942612434988322, ""reg_lambda"": 1.2580786639521787e-07, ""min_child_samples"": 20, ""min_child_weight"": 0.20956409595642644}"
24,0.5536407462624565,0.27268009763300255,0.0030825726736899706,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.056344326674671645, ""num_leaves"": 92, ""max_depth"": 7, ""subsample"": 0.6533698038535359, ""colsample_bytree"": 0.6897081216339398, ""reg_alpha"": 0.09445664169803772, ""reg_lambda"": 1.3123485855549189e-05, ""min_child_samples"": 22, ""min_child_weight"": 0.05793098176656177}"
26,0.4881740198708204,0.26873015220510515,0.10814935077404529,"{""boosting_type"": ""gbdt"", ""n_estimators"": 1300, ""learning_rate"": 0.0423212678268677, ""num_leaves"": 61, ""max_depth"": 6, ""subsample"": 0.7617670155337698, ""colsample_bytree"": 0.6910400118267799, ""reg_alpha"": 0.21125890410921586, ""reg_lambda"": 8.976203344136142e-07, ""min_child_samples"": 88, ""min_child_weight"": 0.013375198918339482}"
29,0.5146288772171457,0.2454438887276407,0.020556442341887835,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.048027534233024353, ""num_leaves"": 204, ""max_depth"": 7, ""subsample"": 0.7785792030817484, ""colsample_bytree"": 0.6915276675769271, ""reg_alpha"": 0.03449977370995077, ""reg_lambda"": 8.150368688421063e-07, ""min_child_samples"": 22, ""min_child_weight"": 0.13609262477382084}"
30,0.5695773834425853,0.2447098075359179,0.02543589743589744,"{""boosting_type"": ""gbdt"", ""n_estimators"": 1900, ""learning_rate"": 0.06260826599902812, ""num_leaves"": 173, ""max_depth"": 7, ""subsample"": 0.8686985742937049, ""colsample_bytree"": 0.7029212252293667, ""reg_alpha"": 0.07112708865086495, ""reg_lambda"": 1.4158457576755352e-07, ""min_child_samples"": 23, ""min_child_weight"": 0.07758812945130966}"
39,0.5543208986214844,0.26271985549681276,0.004793873643905552,"{""boosting_type"": ""gbdt"", ""n_estimators"": 2000, ""learning_rate"": 0.05537415610858945, ""num_leaves"": 83, ""max_depth"": 7, ""subsample"": 0.8719143795424603, ""colsample_bytree"": 0.716866153349968, ""reg_alpha"": 0.02750472353910939, ""reg_lambda"": 1.3630432258756213e-06, ""min_child_samples"": 22, ""min_child_weight"": 0.04825123321324565}"
